,Dept,Num,Name,Desc,Reqs
0,ACCT,2000,Survey of Accounting,"Credit will not be given for both this course and ACCT 2001 or ACCT 2002. Students in nonbusiness curricula are advised to enroll in ACCT 2000 if they are given the option of ACCT 2000 or ACCT 2001, unless they plan to pursue a business degree at a subsequent date. All students in the E. J. Ourso College of Business are required to take ACCT 2001. Introduction to the meaning of the values presented in financial statements; management accounting concepts and internal decision making; fundamentals of individual income taxes.", MATH 1021 or MATH 1029 or equivalent
1,ACCT,2001,Introductory Financial Accounting,"Credit will not be given for both this course and ACCT 2000 or ACCT 2002. Required of all students in the E. J. Ourso College of Business. Students in nonbusiness curricula are advised to enroll in ACCT 2000 if they are given the option of ACCT 2000 or ACCT 2001, unless they plan to pursue a business degree at a subsequent date. Financial accounting with emphasis on knowledge required for completion of the accounting cycle, including income measurement and financial statement preparation; accounting for current and plant assets, current and long-term liabilities, stockholders’ equity, and cash flows.", MATH 1021 or equivalent
2,ACCT,2002,Honors: Introductory Financial Accounting,"Same as ACCT 2001, with special honors emphasis for qualified students. Credit will not be given for this course and ACCT 2000 or ACCT 2001.",No listed prerequisites
3,ACCT,2101,Introductory Managerial Accounting,Credit will not be given for both this course and ACCT 2102. Principles and methods of accounting primarily concerned with data gathering and presentation for purposes of internal management evaluation and decision-making., ACCT 2000 or ACCT 2001 or equivalent
4,ACCT,2102,Honors: Introductory Managerial Accounting,"Same as ACCT 2101, with special honors emphasis for qualified students. Credit will not be given for this course and ACCT 2101.",No listed prerequisites
5,ACCT,3001,Intermediate Accounting–Part I,Only Accounting and Finance students admitted to the College of Business or permission of department. Credit will not be given for both this course and ACCT 3002 or ACCT 7011. Accounting principles underlying preparation of financial statements; their application in measurement and reporting of selected balance-sheet items and related revenue and expense recognition., grade of “C” or above in ACCT 2101; MATH 1431
6,ACCT,3002,Honors: Intermediate Accounting–Part I,"Same as ACCT 3001, with special honors emphasis for qualified students. Credit will not be given for this course and ACCT 3001.",No listed prerequisites
7,ACCT,3021,Intermediate Accounting–Part II,"Continuation of ACCT 3001/ACCT 3002. Credit will not be given if credit was earned from ACCT 7011. Accounting for liabilities, income taxes, pensions, leases, stockholders’ equity, earnings per share, accounting changes and corrections of errors, and income and balance sheet presentations.", grade of “C” or above in ACCT 3001 or ACCT 3002
8,ACCT,3025,Accounting Analytics,Business and financial risk considerations and application of data analytics and visualization tools., grade of “C” or better in ACCT 2101 and ISDS 2001; or permission of department
9,ACCT,3121,Cost Analysis and Control,"Nature, objectives, basic systems, and procedures of cost accounting and control for manufacturing firms; cost-volume-profit relationships; standard costs and variance analysis; direct costing; relevant costs; activity-based costing.", grade of “C” or above in ACCT 3001
10,ACCT,3122,Accounting Information Systems,Majors only or permission of department. Analysis and design of standard accounting systems; emphasis on computerized systems and internal control issues.," grade of “C” or above in ACCT 3001, ACCT 3025; and ISDS 1100, ISDS 1101 or ISDS 1102"
11,ACCT,3201,Fundamental Tax Problems and Tax Planning for Individuals,"Not open to accounting majors. Not intended to satisfy the requirements to sit for the CPA exam. For students with little or no previous work in accounting. Credit will not be given for both this course and ACCT 3221. General course in taxation; emphasis on aspects of taxation affecting the individual; federal and state income, estate, inheritance, gift, excise, and payroll taxes.",No listed prerequisites
12,ACCT,3221,Income Tax Accounting I,"Credit will not be given for both this course and ACCT 3201. Fundamentals of federal income taxation with respect to individuals and other entities, income inclusions and exclusions and statutory deductions in arriving at tax liability.", registration in or grade of “C” or above in ACCT 3001
13,ACCT,3222,Auditing,Theoretical and practical development of the independent audit function; generally accepted auditing standards; collection and evaluation of audit evidence; understanding internal control; risk assessment; transaction cycles; and reporting., grade of “C” or above in ACCT 3021 and ACCT 3122
14,ACCT,3233,Internal Auditing I,"Internal auditing standards, ethics, concepts, audit techniques, and reporting practices.",No listed prerequisites
15,ACCT,4021,Cases in Accounting Policy,"Case approach; integrates financial accounting, systems, auditing, income tax, and management uses of accounting information; emphasis on financial reporting to owners, the financial community, regulatory agencies, and the general public; relationship of accounting to the law.", ACCT 3021 and accounting major with senior standing
16,ACCT,4022,Advanced Accounting,"Completion of the core financial accounting sequence; business combinations, consolidated financial statements, segment reporting, foreign operations and Securities and Exchange Commission procedures.", grade of “C” or above in ACCT 3021
17,ACCT,4121,Advanced Cost Analysis,"Measurement, interpretation, planning, and control of manufacturing and distribution costs; budgets and budgetary control; comparison of costs of business alternatives.", grade of “C” or above in ACCT 3121
18,ACCT,4221,Income Tax Accounting II,, grade of “C” or above in ACCT 3221; MS in accounting students or permission of department
19,ACCT,4225,Research in Federal Income Taxation,MS in accounting students or permission of department. Credit will not be given for this course and ACCT 7210. Techniques and procedures involved in tax planning and research., registration in or grade of “C” or above in ACCT 3221
20,ACCT,4231,Internship in Accounting,"Grade of “C” or above in ACCT 3021. Pass-fail grading. Credit will not be given for this course and ACCT 4333. At least 20 hours per week of learning experience in accounting under the general supervision of a faculty member and direct supervision of a professional in accounting. Grading based on the faculty member’s evaluation, professional supervisor’s evaluation, and a written report by the student.", Majors only and permission of instructor and department chair required
21,ACCT,4233,Case Studies in Auditing,"Case studies in operational, compliance, and financial audits.", grade of “C” or above in ACCT 3233
22,ACCT,4234,Internal Auditing II,"Operation, organization and quality control audits; organization theory.", grade of “C” or above in ACCT 3233
23,ACCT,4235,Fraud Auditing and Forensic Accounting,"Credit will not be given for this course and ACCT 7235. Proactive and reactive fraud auditing including audit committee and liability related issues; investigative decision-making for prevention, detection, investigation and reporting of fraud.", grade of “C”or above in ACCT 3001; MS in accounting students or permission of department
24,ACCT,4237,"Governance, Risk, and Controls","The study of the cornerstones of governance, enterprise risk management, internal audit risk planning, and control frameworks.", grade of “C” or above in ACCT 3233 or ACCT 7233 or concurrent registration and permission of instructor
25,ACCT,4244,Audit Analytics, Business and financial risk considerations and application of data analytics and visualization tools., grade of “C” or above in ACCT 3122 or ACCT 3233
26,ACCT,4333,Internship in Internal Auditing,"Pass-fail grading. Credit will not be given for this course and ACCT 4231. At least 20 hrs. per week of learning experience in internal auditing under the general supervision of a faculty member and direct supervision of a professional in internal auditing. Grading based on the faculty member’s evaluation, a written report by the professional supervisor and a written report by the student.", permission of instructor and department chair required
27,ACCT,4344,Tax Analytics,"Use of analytical tools to address special topics and problems in tax planning, compliance, and the interaction between tax and financial reporting for income tax."," Grade of “C” or better in ACCT 3122 and ACCT 3221, and ACCT 4244"
28,ACCT,4421,Governmental and Not-for-Profit Accounting,, grade of “C”or above in ACCT 3001
29,ACCT,4501,Petroleum Accounting,"Accounting for oil and gas exploration and production; accounting for oil and gas leases, exploration costs, undeveloped properties, drilling and development operations, production and oil and gas revenues.", grade of “C”or above in ACCT 3021 and ACCT 3121; MS in accounting students or permission of department
30,ACCT,4800,Professional Exam Preparation," Pass-Fail grading. Can only be taken once. Course requires purchase of exam preparation software. Comprehensive update of accounting standards, laws, and regulations. This course integrates financial accounting, cost accounting, accounting information systems, tax, audit, business law, and other selected topics to focus one exercises at the professional exam level."," grade of “C” or above in ACCT 3222 and ACCT 4022 or ACCT 4421, or permission of department"
31,ACCT,7011,Intermediate Accounting,Credit will not be given for this course and ACCT 3001 or ACCT 3002 and ACCT 3021. Accounting principles underlying preparation of financial statements; their application in measurement and reporting of selected balance-sheet items and related revenue and expense recognition., ACCT 2001
32,ACCT,7021,Advanced Theory of Accounts,MS in accounting students or permission of instructor., ACCT 3021 and consent of instructor or ACCT 4022
33,ACCT,7201,Tax Aspects of Business Entities,"Basic concepts of business entities, including corporations, partnerships, and S corporations; tax consequences of the formation and operation of a business entity and distributions to the owners.", ACCT 3021 or equivalent
34,ACCT,7210,"Tax Research, Planning and Business Decision Making",, ACCT 3221 or equivalent
35,ACCT,7222,Auditing Theory and Standards,, ACCT 3222; MS in accounting students or permission of instructor
36,ACCT,7231,Internship in Accounting,"Pass-fail grading. Credit will not be given for this course and ACCT 7333.  At least 20 hours per week of learning experience in accounting under the general supervision of a faculty member and direct supervision of a professional in accounting. Grading based on the faculty member’s evaluation, professional supervisor’s evaluation, and a written report by the student.", MAcc students only and permission of instructor and department chair required
37,ACCT,7232,Case Studies in Internal Auditing,"Primarily for MBA and MS students. Performance, compliance, prudence and fraud audits.", ACCT 7233
38,ACCT,7233,Graduate Internal Auditing,, consent of instructor
39,ACCT,7234,Operational Auditing,, ACCT 7233
40,ACCT,7235,Fraud Auditing,MS in accounting students or permission of department., ACCT 3001 or equivalent
41,ACCT,7244,Systems Auditing,Selected topics in the control and audit of computer systems., ACCT 3222 or ACCT 3233 or permission of instructor
42,ACCT,7250,Current Topics in Federal Income Taxation,, ACCT 3221 or equivalent
43,ACCT,7270,Statement and Report Presentation and Analysis,MS in accounting students or permission of department.,No listed prerequisites
44,ACCT,7333,Internship in Internal Auditing,"Pass-fail grading. Credit will not be given for this course and ACCT 7231. At least 20 hrs per week of learning experience in internal auditing under the general supervision of a faculty member and direct supervision of a professional in internal auditing. Grading based on the faculty member’s evaluation, a written report by the professional supervisor and a written report by the student.", permission of instructor and department chair required
45,ACCT,7401,Ethics for Professional Accountants,Case approach to understanding the ethical and regulatory environment of the practice of professional accounting., MS in accounting students or permission of department
46,ACCT,7601,International Accounting,"MS in accounting students or permission of department. Accounting principles, auditing environments, managerial objectives, and financial reporting requirements applicable to multinational corporations; causes of international accounting problems.",No listed prerequisites
47,ACCT,7900,Individual Study in Accounting,A proposal outlining the nature and objectives of a research project must be approved by department faculty prior to registration; written report of semester’s activities and findings required for credit. In-depth study in a selected accounting problem.,No listed prerequisites
48,ACCT,8900,Pre-dissertation Research,Pass-fail grading. May be repeated for credit. Permission of instructor and department chair required.,No listed prerequisites
49,ACCT,9000,Dissertation Research,“S”/”U” grading.,No listed prerequisites
50,ACCT,9001,Accounting Research I,For doctoral students only. Research methodologies in accounting and a survey of the accounting research literature.,No listed prerequisites
51,ACCT,9002,Accounting Research II,"For doctoral students only. Theory and evidence relating to internal decision making and control, financial accounting and auditing.",No listed prerequisites
52,ACCT,9003,Accounting Research III,"For doctoral students only. Continuation of ACCT 9002. Theory and evidence relating to internal decision making and control, financial accounting and auditing.",No listed prerequisites
53,ACCT,9004,Accounting Research IV,May be taken for a max. of 6 hrs. of credit. For doctoral students only. Seminar in current accounting research topics.,No listed prerequisites
54,ASST,1001,Heritage and Values,"Coreq.: ASST 1011. A survey course designed to introduce students to the United States Air and Space Forces and provide an overview of the basic characteristics, missions, and organization of the Air and Space Force.",No listed prerequisites
55,ASST,1002,Heritage and Values,"Coreq.: ASST 1012. A survey course designed to introduce students to the United States Air and Space Forces and provide an overview of the basic characteristics, missions, and organization of the Air and Space Force.",No listed prerequisites
56,ASST,1011,Leadership Laboratory I,"Coreq.: ASST 1001. Pass-fail grading. May be repeated for up to 2 sem. hrs. of credit. 2 hrs. lab. Intermediate Leadership training through drill and ceremony, physical fitness, team building and professional development.",No listed prerequisites
57,ASST,1012,Leadership Laboratory I,"Coreq.: ASST 1002. Pass-fail grading. May be repeated for up to 2 sem. hrs. of credit. 2 hrs. lab. Intermediate Leadership training through drill and ceremony, physical fitness, team building and professional development.",No listed prerequisites
58,ASST,2001,Team and Leadership Fundamentals,Coreq.: ASST 2011. May be repeated for up to 3 sem. hrs. of credit. Designed to provide a fundamental understanding of both leadership and team building. The lessons and course flow are designed to prepare students for field training and leadership positions in the detachment.,No listed prerequisites
59,ASST,2002,Team and Leadership Fundamentals,Coreq.: ASST 2012. May be repeated for up to 3 sem. hrs. of credit. Designed to provide a fundamental understanding of both leadership and team building. The lessons and course flow are designed to prepare students for field training and leadership positions in the detachment.,No listed prerequisites
60,ASST,2011,Leadership Laboratory II,"Coreq.: ASST 2001, ASST 2002. Pass-fail grading. May be repeated for up to 3 hours credit. 2 hrs. lab. Intermediate leadership training through drill and ceremony, physical fitness, team building and professional development.",No listed prerequisites
61,ASST,2012,Leadership Laboratory II,"Coreq.: ASST 2001, ASST 2002. Pass-fail grading. May be repeated for up to 3 hours credit. 2 hrs. lab. Intermediate leadership training through drill and ceremony, physical fitness, team building and professional development.",No listed prerequisites
62,ASST,3001,Leading People and Effective Communication,"Coreq.: ASST 3011. Skills required by the successful leader; individual motivational and behavioral processes; leadership, communication and group dynamics; use of analytical aids in planning and organizing; total quality management; ethics, management of change, organizational power, politics and managerial strategy.", permission of instructor
63,ASST,3002,Leading People and Effective Communication,"Coreq.: ASST 3012. Skills required by the successful leader; individual motivational and behavioral processes; leadership, communication and group dynamics; use of analytical aids in planning and organizing; total quality management; ethics, management of change, organizational power, politics and managerial strategy.", permission of instructor
64,ASST,3011,Leadership Laboratory III,"Coreq.: ASST 3001, ASST 3002. Pass-fail grading. 2 hrs. lab. Experiences designed to develop leadership potential; study of Air Force customs and courtesies; drill and ceremonies; career opportunities; and the life and work of an Air Force junior officer.",No listed prerequisites
65,ASST,3012,Leadership Laboratory III,"Coreq.: ASST 3001, ASST 3002. Pass-fail grading. 2 hrs. lab. Experiences designed to develop leadership potential; study of Air Force customs and courtesies; drill and ceremonies; career opportunities; and the life and work of an Air Force junior officer.",No listed prerequisites
66,ASST,4001,National Security,"Coreq.: ASST 4011. Comprehend the basic elements of national security policy and process. The student should know basic Department of the Air Force operations as well as understand roles of the military in society and current domestic and international issues affecting the military profession. Cadets should comprehend the responsibility, authority, and functions of an Air Force commander and selected provisions of the military justice system.", permission of instructor
67,ASST,4002,Leadership Responsibilities and Commissioning Preparation,"Coreq.: ASST 4012. Prepare cadets for life as a second lieutenant. As future officers, AS400 cadets will build on the foundation laid in AS100, AS200, and AS300, all underpinned by the Air Force Core Values; Integrity First, Service Before Self, Excellence in All We Do.", permission of instructor
68,ASST,4011,Leadership Laboratory IV,"Coreq.: ASST 4001, ASST 4002. Pass-fail grading. 2 hrs. leadership lab. Advanced development of leadership skills through planning and leading activities; study of Air Force customs and courtesies; drill and ceremonies; career opportunities; and the life and work of an Air Force junior officer.",No listed prerequisites
69,ASST,4012,Leadership Laboratory IV,"Coreq.: ASST 4001, ASST 4002. Pass-fail grading. 2 hrs. leadership lab. Advanced development of leadership skills through planning and leading activities; study of Air Force customs and courtesies; drill and ceremonies; career opportunities; and the life and work of an Air Force junior officer.",No listed prerequisites
